Viajeros y tasas;TIPO DE TRANSPORTE;Ciudad;Periodo;Total
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M10;39.719
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M09;32.234
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M08;19.959
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M07;30.117
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M06;35.296
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M05;36.824
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M04;38.220
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M03;32.870
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M02;34.103
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2013M01;34.681
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M12;32.540
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M11;34.716
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M10;37.996
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M09;31.025
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M08;20.324
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M07;29.267
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M06;36.660
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M05;37.975
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M04;33.174
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M03;38.554
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M02;36.692
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2012M01;36.564
Viajeros transportados;Urbano por metro;28079 Madrid;2024M09;59.825
Viajeros transportados;Urbano por metro;28079 Madrid;2024M08;39.574
Viajeros transportados;Urbano por metro;28079 Madrid;2024M07;52.445
Viajeros transportados;Urbano por metro;28079 Madrid;2024M06;59.458
Viajeros transportados;Urbano por metro;28079 Madrid;2024M05;62.333
Viajeros transportados;Urbano por metro;28079 Madrid;2024M04;64.265
Viajeros transportados;Urbano por metro;28079 Madrid;2024M03;59.130
Viajeros transportados;Urbano por metro;28079 Madrid;2024M02;61.471
Viajeros transportados;Urbano por metro;28079 Madrid;2024M01;58.879
Viajeros transportados;Urbano por metro;28079 Madrid;2023M12;58.425
Viajeros transportados;Urbano por metro;28079 Madrid;2023M11;61.573
Viajeros transportados;Urbano por metro;28079 Madrid;2023M10;62.233
Viajeros transportados;Urbano por metro;28079 Madrid;2023M09;54.824
Viajeros transportados;Urbano por metro;28079 Madrid;2023M08;36.489
Viajeros transportados;Urbano por metro;28079 Madrid;2023M07;47.858
Viajeros transportados;Urbano por metro;28079 Madrid;2023M06;57.070
Viajeros transportados;Urbano por metro;28079 Madrid;2023M05;58.490
Viajeros transportados;Urbano por metro;28079 Madrid;2023M04;54.100
Viajeros transportados;Urbano por metro;28079 Madrid;2023M03;61.493
Viajeros transportados;Urbano por metro;28079 Madrid;2023M02;55.335
Viajeros transportados;Urbano por metro;28079 Madrid;2023M01;54.418
Viajeros transportados;Urbano por metro;28079 Madrid;2022M12;53.202
Viajeros transportados;Urbano por metro;28079 Madrid;2022M11;56.167
Viajeros transportados;Urbano por metro;28079 Madrid;2022M10;56.080
Viajeros transportados;Urbano por metro;28079 Madrid;2022M09;51.158
Viajeros transportados;Urbano por metro;28079 Madrid;2022M08;31.909
Viajeros transportados;Urbano por metro;28079 Madrid;2022M07;40.761
Viajeros transportados;Urbano por metro;28079 Madrid;2022M06;48.204
Viajeros transportados;Urbano por metro;28079 Madrid;2022M05;50.338
Viajeros transportados;Urbano por metro;28079 Madrid;2022M04;46.530
Viajeros transportados;Urbano por metro;28079 Madrid;2022M03;52.844
Viajeros transportados;Urbano por metro;28079 Madrid;2022M02;44.812
Viajeros transportados;Urbano por metro;28079 Madrid;2022M01;39.664
Viajeros transportados;Urbano por metro;28079 Madrid;2021M12;43.288
Viajeros transportados;Urbano por metro;28079 Madrid;2021M11;48.329
Viajeros transportados;Urbano por metro;28079 Madrid;2021M10;47.203
Viajeros transportados;Urbano por metro;28079 Madrid;2021M09;41.215
Viajeros transportados;Urbano por metro;28079 Madrid;2021M08;25.999
Viajeros transportados;Urbano por metro;28079 Madrid;2021M07;34.042
Viajeros transportados;Urbano por metro;28079 Madrid;2021M06;37.708
Viajeros transportados;Urbano por metro;28079 Madrid;2021M05;36.111
Viajeros transportados;Urbano por metro;28079 Madrid;2021M04;33.799
Viajeros transportados;Urbano por metro;28079 Madrid;2021M03;35.044
Viajeros transportados;Urbano por metro;28079 Madrid;2021M02;30.299
Viajeros transportados;Urbano por metro;28079 Madrid;2021M01;29.268
Viajeros transportados;Urbano por metro;28079 Madrid;2020M12;30.933
Viajeros transportados;Urbano por metro;28079 Madrid;2020M11;30.493
Viajeros transportados;Urbano por metro;28079 Madrid;2020M10;30.067
Viajeros transportados;Urbano por metro;28079 Madrid;2020M09;27.861
Viajeros transportados;Urbano por metro;28079 Madrid;2020M08;20.707
Viajeros transportados;Urbano por metro;28079 Madrid;2020M07;27.066
Viajeros transportados;Urbano por metro;28079 Madrid;2020M06;21.778
Viajeros transportados;Urbano por metro;28079 Madrid;2020M05;9.644
Viajeros transportados;Urbano por metro;28079 Madrid;2020M04;4.865
Viajeros transportados;Urbano por metro;28079 Madrid;2020M03;26.416
Viajeros transportados;Urbano por metro;28079 Madrid;2020M02;60.410
Viajeros transportados;Urbano por metro;28079 Madrid;2020M01;59.605
Viajeros transportados;Urbano por metro;28079 Madrid;2019M12;58.045
Viajeros transportados;Urbano por metro;28079 Madrid;2019M11;62.785
Viajeros transportados;Urbano por metro;28079 Madrid;2019M10;66.151
Viajeros transportados;Urbano por metro;28079 Madrid;2019M09;56.269
Viajeros transportados;Urbano por metro;28079 Madrid;2019M08;36.129
Viajeros transportados;Urbano por metro;28079 Madrid;2019M07;50.950
Viajeros transportados;Urbano por metro;28079 Madrid;2019M06;56.897
Viajeros transportados;Urbano por metro;28079 Madrid;2019M05;57.561
Viajeros transportados;Urbano por metro;28079 Madrid;2019M04;55.267
Viajeros transportados;Urbano por metro;28079 Madrid;2019M03;61.467
Viajeros transportados;Urbano por metro;28079 Madrid;2019M02;57.350
Viajeros transportados;Urbano por metro;28079 Madrid;2019M01;58.605
Viajeros transportados;Urbano por metro;28079 Madrid;2018M12;56.590
Viajeros transportados;Urbano por metro;28079 Madrid;2018M11;60.094
Viajeros transportados;Urbano por metro;28079 Madrid;2018M10;62.907
Viajeros transportados;Urbano por metro;28079 Madrid;2018M09;53.612
Viajeros transportados;Urbano por metro;28079 Madrid;2018M08;34.831
Viajeros transportados;Urbano por metro;28079 Madrid;2018M07;48.756
